origin_time,Ev. Lat,Ev. Long,Ev. Depth,Station,St. Lat,St. Long,Delay 2-4,Delay 4-8,Delay 8-16,Delay 16-32
2005-11-24T18:41:59.531854,36.170073,28.318431,60.302734,TUR9,36.7015,28.0887,2.167997,2.977997,1.507997,2.407997
2005-11-24T18:41:59.531854,36.170073,28.318431,60.302734,TUR7,36.7017,27.5697,0.881002,0.711002,1.071002,1.081002
2005-11-24T18:41:59.531854,36.170073,28.318431,60.302734,TUR8,36.8273,28.939,1.887996,0.867996,1.637996,1.587996
2005-11-24T18:41:59.531854,36.170073,28.318431,60.302734,TILO,36.4485,27.3535,0.552999,3.672999,1.722999,2.322999
2005-11-26T01:52:29.869880,37.693572,22.728082,62.133789,PE04,37.6007,22.9593,1.221999,1.251999,1.231999,0.861999
2005-11-26T01:52:29.869880,37.693572,22.728082,62.133789,PE02,37.8958,22.4907,0.764003,1.224003,0.654003,1.224003
2005-11-26T01:52:29.869880,37.693572,22.728082,62.133789,PE05,37.5128,22.4553,0.435001,0.275001,0.325001,1.465001
2005-11-26T01:52:29.869880,37.693572,22.728082,62.133789,IDHR,37.3908,23.2591,0.790999,2.220999,1.260999,1.950999
2005-11-26T01:52:29.869880,37.693572,22.728082,62.133789,PE07,37.1478,22.8195,1.584998,0.754998,1.004998,0.964998
2005-11-26T01:52:29.869880,37.693572,22.728082,62.133789,PE01,38.017,22.0283,1.002999,1.032999,12.652999,14.542999
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,KARN,35.4,23.92,2.480998,0.830998,,
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,FOLE,36.6216,24.9197,0.849998,2.479998,0.899998,3.089998
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,IDI,35.29,24.89,1.820998,1.733498,2.195998,2.758498
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,NEAK,36.4087,25.4014,4.240998,1.890998,2.230998,2.430998
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,SANT,36.37,25.46,0.695004,0.545004,,
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,IOSI,36.7347,25.3618,1.215997,1.595997,1.535997,2.505997
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,ANPA,37.0323,25.0763,0.875999,2.325999,7.895999,1.525999
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,PARS,37.0285,25.2253,0.457,6.327,10.807,1.457
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,NAXO,36.98,25.44,1.125001,4.105001,6.345001,7.295001
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,AMOS,36.7956,25.769,3.574997,1.894997,2.404997,8.354997
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,APE,37.07,25.53,1.672993,5.572993,,
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,MYKO,37.4822,25.3844,0.696003,14.066003,11.376003,10.996003
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,ASTY,36.5795,26.4114,0.842997,0.912997,1.732997,0.562997
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,PE04,37.6007,22.9593,1.785997,2.155997,3.415997,8.625997
2005-11-26T11:48:17.867800,36.014581,24.326306,80.444336,AT03,38.0268,23.4677,3.239003,2.459003,3.039003,9.739003
2005-11-27T01:14:27.985273,36.535978,27.452905,92.041016,TUR7,36.7017,27.5697,0.725,1.315,0.585,4.325
2005-11-27T01:14:27.985273,36.535978,27.452905,92.041016,RHOS,36.011,27.8197,0.568003,0.788003,1.088003,0.348003
2005-11-27T01:14:27.985273,36.535978,27.452905,92.041016,TUR6,37.0159,28.4262,3.019998,2.839998,3.199998,3.149998
2005-11-27T01:14:27.985273,36.535978,27.452905,92.041016,TUR8,36.8273,28.939,0.611002,0.581002,0.381002,1.341002
2005-11-28T01:14:14.207367,37.424828,21.573384,39.306641,PE03,37.3784,21.7722,1.808998,0.488998,0.418998,4.378998
2005-11-28T01:14:14.207367,37.424828,21.573384,39.306641,PE06,37.1787,21.9252,1.439003,0.709003,0.559003,0.189003
2005-11-28T01:14:14.207367,37.424828,21.573384,39.306641,PE09,36.7921,21.8879,3.145,1.915,3.855,6.075
2005-11-28T16:06:1.642187,36.418827,26.413025,115.844727,ASTY,36.5795,26.4114,0.748001,0.638001,3.188001,6.588001
2005-11-28T16:06:1.642187,36.418827,26.413025,115.844727,AMOE,36.915,25.9788,0.779,1.799,0.629,10.149
